,SKU,Produto,Quantidade Devolvida,Data,Loja,Preço Unitário,Unnamed: 6
287,HL7348,SmartWatch,2,9/10/2018,São Paulo,1400,
288,HL1918,Android,4,5/9/2018,São Paulo,3400,
292,HL2267,Câmera,5,7/15/2018,São Paulo,2100,
299,HL7348,SmartWatch,5,10/31/2018,São Paulo,1400,
302,HL6259,Notebook,5,5/30/2018,São Paulo,3500,
308,HL7348,SmartWatch,1,3/24/2018,São Paulo,1400,
310,HL2714,Tablet,4,8/31/2018,São Paulo,1600,
311,HL7348,SmartWatch,2,6/30/2018,São Paulo,1400,
312,HL1918,Android,5,4/19/2018,São Paulo,3400,
313,HL1918,Android,5,9/1/2018,São Paulo,3400,
318,HL2714,Tablet,2,8/13/2018,São Paulo,1600,
325,HL1918,Android,5,4/2/2018,São Paulo,3400,
330,HL7348,SmartWatch,1,10/17/2018,São Paulo,1400,
337,HL2267,Câmera,4,1/7/2018,São Paulo,2100,
338,HL2267,Câmera,3,2/20/2018,São Paulo,2100,
339,HL7348,SmartWatch,1,3/21/2018,São Paulo,1400,
340,HL2714,Tablet,1,9/17/2018,São Paulo,1600,
345,HL1918,Android,1,4/17/2018,São Paulo,3400,
348,HL7348,SmartWatch,3,4/23/2018,São Paulo,1400,
351,HL2714,Tablet,5,12/25/2018,São Paulo,1600,
353,HL7348,SmartWatch,5,9/17/2018,São Paulo,1400,
358,HL7348,SmartWatch,1,8/16/2018,São Paulo,1400,
361,HL1918,Android,2,8/28/2018,São Paulo,3400,
365,HL2267,Câmera,3,11/26/2018,São Paulo,2100,
378,HL1918,Android,4,11/11/2018,São Paulo,3400,
394,HL1148,Iphone,3,2/6/2018,São Paulo,5300,
399,HL1918,Android,3,7/26/2018,São Paulo,3400,
406,HL1918,Android,3,5/8/2018,São Paulo,3400,
408,HL1918,Android,4,9/12/2018,São Paulo,3400,
411,HL1148,Iphone,1,1/2/2018,São Paulo,5300,
415,HL6259,Notebook,1,11/9/2018,São Paulo,3500,
417,HL9654,Televisão,2,2/18/2018,São Paulo,2500,
421,HL1148,Iphone,2,1/29/2018,São Paulo,5300,
428,HL2267,Câmera,2,6/14/2018,São Paulo,2100,
431,HL6259,Notebook,5,6/24/2018,São Paulo,3500,
432,HL1148,Iphone,5,7/25/2018,São Paulo,5300,
433,HL2714,Tablet,5,3/11/2018,São Paulo,1600,
440,HL1148,Iphone,2,10/30/2018,São Paulo,5300,
441,HL1148,Iphone,2,8/6/2018,São Paulo,5300,
443,HL2714,Tablet,2,2/10/2018,São Paulo,1600,
444,HL2714,Tablet,1,4/26/2018,São Paulo,1600,
447,HL9654,Televisão,4,7/29/2018,São Paulo,2500,
451,HL1148,Iphone,5,4/7/2018,São Paulo,5300,
456,HL1918,Android,5,5/23/2018,São Paulo,3400,
457,HL6259,Notebook,2,7/18/2018,São Paulo,3500,
458,HL2714,Tablet,2,5/11/2018,São Paulo,1600,
463,HL2267,Câmera,4,11/2/2018,São Paulo,2100,
470,HL9654,Televisão,2,3/31/2018,São Paulo,2500,
477,HL9654,Televisão,5,4/5/2018,São Paulo,2500,
478,HL6259,Notebook,1,10/27/2018,São Paulo,3500,
486,HL7348,SmartWatch,5,4/13/2018,São Paulo,1400,
487,HL2714,Tablet,2,9/7/2018,São Paulo,1600,
494,HL6259,Notebook,4,6/1/2018,São Paulo,3500,
